                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.053997,               0.050262,               0.035043,              0.0063163,                0.67081,                0.44876,                0.45956,                0.21874,                  0.831,                0.39572,                0.43048,                0.18955,                0.04583,               0.047113,               0.030261,              0.0060096,                0.00931,                0.00931,                0.00931
                     25,               0.053246,               0.050302,               0.035087,              0.0062543,                0.70441,                0.46564,                0.46925,                0.22283,                0.60615,                0.41619,                0.41972,                0.17741,               0.044977,                0.04653,               0.029588,               0.005764,                0.00928,                0.00928,                0.00928
                     26,               0.053564,               0.050202,               0.035576,              0.0062758,                 0.8376,                0.42565,                0.47746,                0.23093,                0.80875,                0.40014,                0.41767,                0.18163,               0.043669,               0.046072,                0.02946,              0.0055636,                0.00925,                0.00925,                0.00925
                     27,               0.053171,               0.050085,               0.035807,              0.0061752,                0.65477,                0.49843,                0.50107,                0.24089,                0.66595,                 0.4276,                0.45872,                0.19664,               0.043678,               0.046077,               0.029201,              0.0053651,                0.00922,                0.00922,                0.00922
                     28,               0.052809,               0.049312,               0.035261,              0.0059797,                0.68406,                0.51397,                0.50368,                 0.2354,                0.84062,                0.42383,                0.47042,                0.20823,               0.043426,               0.045962,               0.029486,              0.0058438,                0.00919,                0.00919,                0.00919
                     29,               0.051795,               0.048819,               0.035092,              0.0058648,                0.64394,                0.51154,                0.49412,                0.24527,                0.69027,                0.42846,                0.44244,                0.19143,               0.042847,               0.044868,               0.028881,              0.0050741,                0.00916,                0.00916,                0.00916
                     30,               0.052048,               0.049092,               0.034932,              0.0059635,                0.78869,                0.50281,                0.52437,                0.24845,                 0.6756,                0.44075,                0.43582,                0.18977,               0.042988,               0.045357,               0.029085,               0.005165,                0.00913,                0.00913,                0.00913
                     31,               0.051668,               0.048454,               0.035067,              0.0058669,                0.70268,                0.51356,                0.51948,                0.25819,                0.66937,                0.47632,                0.46651,                0.20139,               0.042268,               0.044755,               0.028606,               0.005292,                 0.0091,                 0.0091,                 0.0091
                     32,                0.05121,               0.048209,               0.034611,              0.0057637,                0.85328,                0.44626,                0.52184,                 0.2604,                0.82838,                0.41676,                0.45994,                0.20142,               0.042745,               0.044614,               0.028931,              0.0052241,                0.00907,                0.00907,                0.00907
                     33,               0.051497,               0.048404,               0.034746,              0.0057235,                0.75135,                0.51467,                 0.5347,                0.27455,                0.73526,                 0.4753,                 0.4864,                0.21149,               0.042271,               0.044088,               0.028491,               0.005282,                0.00904,                0.00904,                0.00904
                     34,               0.050924,               0.047701,               0.034111,              0.0055387,                0.73238,                0.51526,                0.51788,                0.24893,                0.68562,                0.48048,                 0.4686,                0.19419,               0.043801,               0.044892,                0.02937,              0.0048698,                0.00901,                0.00901,                0.00901
                     35,               0.050125,               0.047236,               0.033477,              0.0056849,                0.79998,                0.51271,                0.55466,                0.27956,                0.72929,                0.46451,                 0.4647,                0.20381,               0.041863,                0.04362,               0.028565,               0.005109,                0.00898,                0.00898,                0.00898
                     36,               0.050454,               0.047227,               0.033594,              0.0056214,                0.69892,                 0.5358,                0.53235,                0.26364,                0.66938,                 0.4806,                0.48595,                0.21664,               0.041495,                0.04351,               0.028462,              0.0050574,                0.00895,                0.00895,                0.00895
                     37,               0.049762,               0.046543,               0.033007,              0.0054032,                0.73487,                0.53112,                0.55726,                0.27582,                0.69192,                0.50831,                0.50016,                0.22202,               0.041227,               0.043736,               0.028061,              0.0047312,                0.00892,                0.00892,                0.00892
                     38,               0.050105,               0.047405,               0.033676,              0.0054671,                0.74427,                0.54084,                 0.5864,                0.28179,                0.71313,                0.49506,                0.49911,                 0.2236,               0.040945,               0.044281,               0.028048,                0.00462,                0.00889,                0.00889,                0.00889
                     39,               0.050192,               0.047779,               0.034158,              0.0055442,                0.80733,                0.53002,                0.56721,                0.28026,                 0.7206,                0.47396,                0.47871,                0.21088,               0.041528,               0.043273,               0.027992,              0.0050069,                0.00886,                0.00886,                0.00886
