                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.043963,               0.043179,               0.031842,              0.0049378,                0.76341,                0.54698,                0.57958,                0.30314,                0.74169,                0.48283,                0.50211,                0.22705,               0.036405,               0.040574,               0.026562,               0.004243,                0.00931,                0.00931,                0.00931
                     25,               0.043449,               0.042803,               0.031199,              0.0047256,                0.82406,                0.55111,                0.59627,                0.31932,                0.80484,                0.48399,                0.51972,                0.24522,                 0.0358,               0.040047,               0.026597,               0.004165,                0.00928,                0.00928,                0.00928
                     26,               0.043043,               0.042756,               0.031283,              0.0048525,                0.85056,                0.53242,                0.59976,                0.32576,                0.79118,                0.49288,                0.50869,                0.23021,               0.035558,               0.040089,               0.026471,              0.0040238,                0.00925,                0.00925,                0.00925
                     27,               0.042434,               0.041798,               0.030802,              0.0047288,                0.81449,                0.56037,                0.62686,                0.32199,                0.81613,                0.54098,                0.55743,                0.26478,               0.035383,               0.039741,               0.026313,               0.004018,                0.00922,                0.00922,                0.00922
                     28,               0.042447,               0.041895,               0.030485,              0.0046898,                0.83444,                0.55449,                 0.6283,                0.33697,                0.82138,                0.53061,                0.54876,                0.25241,               0.035249,               0.038982,               0.026315,              0.0040725,                0.00919,                0.00919,                0.00919
                     29,               0.041972,               0.042109,               0.031208,              0.0046688,                0.78516,                0.55869,                0.62686,                0.32533,                0.73635,                0.53184,                0.53738,                0.24167,               0.034912,               0.039178,               0.025756,              0.0041315,                0.00916,                0.00916,                0.00916
                     30,               0.041957,               0.041358,                0.03023,              0.0045029,                0.83192,                0.57151,                 0.6328,                0.34504,                0.77555,                0.50691,                 0.5244,                 0.2425,               0.034608,               0.038883,               0.025883,              0.0037406,                0.00913,                0.00913,                0.00913
                     31,               0.041137,               0.040565,               0.029432,              0.0044415,                0.85288,                0.55267,                0.63836,                0.35276,                0.80787,                0.52643,                0.56338,                0.26524,               0.034406,               0.038639,               0.025524,              0.0037756,                 0.0091,                 0.0091,                 0.0091
                     32,               0.041061,               0.040235,               0.029517,              0.0043855,                 0.8299,                0.56754,                0.65293,                0.36005,                0.80559,                0.54346,                0.55962,                0.24707,                0.03394,               0.038429,                 0.0257,              0.0038201,                0.00907,                0.00907,                0.00907
                     33,               0.040441,               0.040474,                0.02977,              0.0043081,                 0.8089,                0.58203,                0.65266,                0.34779,                0.77872,                0.52339,                0.54844,                0.24927,               0.033851,               0.038262,               0.025291,              0.0036436,                0.00904,                0.00904,                0.00904
