                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,                0.03391,               0.032656,               0.025183,              0.0031498,                0.77691,                0.75511,                0.78512,                0.45747,                0.66791,                 0.6731,                0.64878,                0.30449,               0.028724,               0.031918,                0.02224,              0.0027332,                0.00931,                0.00931,                0.00931
                     25,               0.033816,               0.031966,               0.024938,              0.0033421,                0.83319,                0.72038,                0.77544,                0.44329,                0.77428,                0.67042,                0.70264,                0.33929,               0.028046,               0.031849,               0.022415,              0.0026918,                0.00928,                0.00928,                0.00928
                     26,               0.033618,               0.032292,               0.024816,              0.0031887,                0.81009,                0.73988,                 0.7658,                 0.4454,                0.73353,                 0.6948,                0.69153,                0.34668,               0.028196,               0.031919,                0.02207,              0.0027188,                0.00925,                0.00925,                0.00925
                     27,               0.033455,               0.032301,               0.025055,              0.0031495,                0.80322,                0.75044,                 0.7741,                 0.4446,                0.71631,                0.67003,                0.66118,                0.31106,               0.028024,               0.032404,               0.021948,              0.0028436,                0.00922,                0.00922,                0.00922
                     28,               0.032868,               0.032155,                0.02429,              0.0031085,                0.77648,                0.75073,                0.77621,                0.45644,                0.72051,                0.71787,                0.71434,                 0.3638,               0.027743,               0.031568,               0.021947,               0.002567,                0.00919,                0.00919,                0.00919
                     29,               0.033032,               0.031775,               0.024869,              0.0030798,                0.79823,                0.75197,                0.77048,                0.45917,                0.72231,                0.69249,                0.68294,                0.33819,               0.027752,                0.03136,               0.021904,              0.0025659,                0.00916,                0.00916,                0.00916
                     30,               0.032888,                0.03194,               0.024759,              0.0030437,                 0.8515,                0.73495,                0.80094,                0.46817,                0.80649,                0.69365,                0.73365,                0.37926,               0.027521,               0.031633,               0.022112,              0.0025405,                0.00913,                0.00913,                0.00913
                     31,               0.032547,               0.031054,               0.023921,              0.0030569,                0.79531,                0.76513,                0.77878,                0.45056,                0.71472,                 0.7001,                0.68155,                0.32561,                0.02779,               0.031375,               0.021783,              0.0025129,                 0.0091,                 0.0091,                 0.0091
                     32,               0.032256,               0.031521,               0.024688,              0.0029115,                0.81561,                0.75301,                0.80228,                0.48191,                0.73194,                0.69476,                0.68939,                0.32897,               0.027438,               0.031174,               0.021889,              0.0024642,                0.00907,                0.00907,                0.00907
                     33,               0.032534,               0.031684,               0.024445,              0.0029167,                0.78951,                0.77434,                0.80734,                0.46408,                0.71035,                0.68499,                0.67602,                0.31414,               0.027458,               0.030921,               0.021604,              0.0024446,                0.00904,                0.00904,                0.00904
                     34,               0.031991,               0.031135,                0.02386,               0.002967,                 0.8205,                0.77647,                0.79719,                0.48178,                0.78447,                0.74082,                0.74719,                0.34267,                  0.027,               0.031017,               0.021708,               0.002435,                0.00901,                0.00901,                0.00901
                     35,               0.032039,               0.030995,               0.023675,              0.0029301,                0.82428,                0.76087,                0.79614,                0.47283,                0.77683,                0.71366,                0.73194,                0.35467,               0.027139,               0.030673,               0.021583,               0.002313,                0.00898,                0.00898,                0.00898
                     36,               0.031464,               0.030701,               0.024246,              0.0027833,                0.85796,                0.74904,                0.80364,                0.48445,                0.79048,                0.69746,                0.71796,                0.33176,               0.026918,               0.030934,               0.021719,              0.0025595,                0.00895,                0.00895,                0.00895
